"","cod_municipio_ibge","total","total_abertas","media_tempo_horas","dias"
"896",2300408,433,65,141.905,5.91270833333333
"897",2300507,483,82,19.5657142857143,0.815238095238095
"898",2300606,202,39,26.77375,1.11557291666667
"899",2300705,601,72,66.478947368421,2.76995614035088
"900",2300754,1383,242,48.6457142857143,2.02690476190476
"901",2300804,228,39,33.3581818181818,1.38992424242424
"902",2300903,560,78,95.561,3.98170833333333
"903",2301000,5343,896,134.823137254902,5.61763071895425
"904",2301109,5214,800,135.610930232558,5.65045542635659
"905",2301208,1031,162,101.105294117647,4.21272058823529
"906",2301257,360,64,422.584166666667,17.6076736111111
"907",2301307,523,104,139.516,5.81316666666667
"908",2301406,318,56,142.385833333333,5.93274305555556
"909",2301505,275,59,9.29714285714286,0.387380952380952
"910",2301604,682,102,63.34625,2.63942708333333
"911",2301703,760,105,36.8272222222222,1.53446759259259
"912",2301802,155,24,31.7475,1.3228125
"913",2301851,592,111,42.4728571428571,1.76970238095238
"914",2301901,3313,647,171.294634146341,7.13727642276423
"915",2301950,1392,212,70.2635714285714,2.92764880952381
"916",2302008,635,97,93.4590476190476,3.89412698412698
"917",2302057,627,66,53.5290909090909,2.23037878787879
"918",2302107,1944,262,42.86,1.78583333333333
"919",2302206,2690,486,126.03975,5.25165625
"920",2302305,1349,185,142.769,5.94870833333333
"921",2302404,1884,249,94.1774074074074,3.92405864197531
"922",2302503,1922,299,65.5733333333333,2.73222222222222
"923",2302602,3619,582,232.404634146341,9.68352642276423
"924",2302701,1153,166,37.489,1.56204166666667
"925",2302800,3159,523,153.815555555556,6.40898148148148
"926",2302909,530,96,91.3277777777778,3.80532407407407
"927",2303006,491,80,338.228666666667,14.0928611111111
"928",2303105,551,68,26.491,1.10379166666667
"929",2303204,681,157,175.101764705882,7.2959068627451
"930",2303303,512,56,72.155,3.00645833333333
"931",2303402,660,94,23.13,0.96375
"932",2303501,3973,627,141.712619047619,5.90469246031746
"933",2303600,332,35,35.21125,1.46713541666667
"934",2303659,291,29,51.9238461538462,2.16349358974359
"935",2303709,22046,4587,399.644705882353,16.651862745098
"936",2303808,672,87,41.245,1.71854166666667
"937",2303907,483,65,27.5166666666667,1.14652777777778
"938",2303931,224,60,68.722,2.86341666666667
"939",2303956,876,118,92.1946153846154,3.84144230769231
"940",2304004,777,131,54.6605,2.27752083333333
"941",2304103,4314,682,100.282272727273,4.17842803030303
"942",2304202,7668,1467,175.210833333333,7.30045138888889
"943",2304236,582,88,52.9333333333333,2.20555555555556
"944",2304251,2162,444,75.5693939393939,3.14872474747475
"945",2304269,254,33,40.9166666666667,1.70486111111111
"946",2304277,165,23,20.494,0.853916666666667
"947",2304285,9279,1770,275.879285714286,11.4949702380952
