X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-49.185690022,-25.4723562472667,3368,4106902_ETE_1,ETE Atuba Sul,8628941,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.89999998,0,0,4119509,RM Curitiba - PR,QBI
-49.185606737,-25.4720033052668,3369,4106902_ETE_1,ETE Atuba Sul,8628941,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.89999998,0,0,4120804,RM Curitiba - PR,QBI
-43.347375445,-22.7556488483263,3370,3300456_ETE_3,ETE Sarapuí,77937421,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.85000002,0,0,3300456,RM Rio de Janeiro - RJ,LAT
-43.346933881,-22.7557434023263,3371,3300456_ETE_3,ETE Sarapuí,77937421,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3301702,RM Rio de Janeiro - RJ,LAT
-43.308601324,-22.8023631593253,3372,3304557_ETE_11,ETE Pavuna,77937521,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.85000002,0,0,3301702,RM Rio de Janeiro - RJ,LAT
-43.347458174,-22.7557579603263,3373,3300456_ETE_3,ETE Sarapuí,77937421,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3302858,RM Rio de Janeiro - RJ,LAT
-43.347219948,-22.7556615583263,3374,3300456_ETE_3,ETE Sarapuí,77937421,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3303500,RM Rio de Janeiro - RJ,LAT
-43.347163176,-22.7557848593263,3375,3300456_ETE_3,ETE Sarapuí,77937421,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3305109,RM Rio de Janeiro - RJ,LAT
-43.308903801,-22.8024523873252,3376,3304557_ETE_11,ETE Pavuna,77937521,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3305109,RM Rio de Janeiro - RJ,LAT
-51.077264315,-29.9564043291832,3377,4303103_ETE_1,ETE Free Way,7814161,0,Ativa,Sim (4309209),Não,Lagoa Anaeróbia + Lagoa Facultativa + Lagoas de Maturação em Série, ,0,0.81999999,0,0,4303103,RM Porto Alegre - RS,LAG
-51.076714109,-29.9563604631832,3378,4303103_ETE_1,ETE Free Way,7814161,0,Ativa,Sim (4303103),Não,Lagoa Anaeróbia + Lagoa Facultativa + Lagoas de Maturação em Série, ,0,0.81999999,0,0,4309209,RM Porto Alegre - RS,LAG
-48.6575,-27.5682999992253,3379,4216602_ETE_1,ETE Potecas,77975444,0,Ativa,Sim,Não,Reator Anaeróbio + Lagoa Facultativa +  Lagoa de Maturação, ,0,0.69999999,0,0,4205407,RM Florianópolis - SC,RAN
-51.495593462,-27.1942546462324,3380,4206702_ETE_1,ETE Joaçaba e Herval D'Oeste,827943411,0,Ativa,Sim,Não,Lagoa Anaeróbia Aerada + Lagoa Facultativa Aerada + Lagoa de Maturação, ,0,0.86000001,0,0,4206702,RM do Contestado - SC,LAG
-51.495455776,-27.1943108242324,3381,4206702_ETE_1,ETE Joaçaba e Herval D'Oeste,827943411,0,Ativa,Sim,Não,Lagoa Anaeróbia Aerada + Lagoa Facultativa Aerada + Lagoa de Maturação, ,0,0.85000002,0,0,4209003,RM do Contestado - SC,LAG
-51.467408545,-22.1177976223412,3382,3541406_ETE_3,ETE Limoeiro,8651894,0,Ativa,Sim (Presidente Prudente),Não,Lodos Ativados de Aeração Prolongada, ,0,0.89999998,0,0,3501301, ,LAT
-38.427213136,-12.9671332795869,3383,2927408_ETE_1,EPC Jaguaribe,771793321,0,Ativa,Sim (2927408),Não,EPC - Estação de Pré Condicionamento (Peneiramento/Gradeamento/Primário),Emissário terrestre/Emissário submarino (Boca do,0,0.30000001,0,0,2919207,RM Salvador - BA,SIM
