"","cod_municipio_ibge","qtd_abertas","qtd_abertas_Consórcio de Sociedades","qtd_abertas_Cooperativa","qtd_abertas_EIRELI","qtd_abertas_Empresa Pública","qtd_abertas_Empresário Individual","qtd_abertas_Estabelecimento, no Brasil, de Sociedade Estrangeira e Empresas Binacionais","qtd_abertas_Grupo de Sociedades","qtd_abertas_Sociedade Anônima","qtd_abertas_Sociedade de Economia Mista","qtd_abertas_Sociedade em Comandita por Ações","qtd_abertas_Sociedade em Comandita Simples","qtd_abertas_Sociedade em Conta de Participação","qtd_abertas_Sociedade em Nome Coletivo","qtd_abertas_Sociedade Limitada"
"1203","241170",17,0,0,0,0,14,0,0,0,0,0,0,0,0,3
"1204","241180",26,0,0,0,0,24,0,0,0,0,0,0,0,0,2
"1205","241190",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1206","241200",1310,0,1,5,0,1139,0,0,4,0,0,0,2,0,159
"1207","241210",52,0,0,0,0,52,0,0,0,0,0,0,0,0,0
"1208","241220",385,0,0,1,0,348,0,0,0,0,0,0,0,0,36
"1209","241230",68,0,0,0,0,65,0,0,0,0,0,0,0,0,3
"1210","241240",28,0,0,0,0,24,0,0,0,0,0,0,0,0,4
"1211","241250",123,0,0,1,0,108,0,0,1,0,0,0,0,0,13
"1212","241255",186,0,0,1,0,165,0,0,2,0,0,0,0,0,18
"1213","241260",129,0,0,0,0,120,0,0,0,0,0,0,0,0,9
"1214","241270",28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"1215","241280",38,0,0,0,0,35,0,0,0,0,0,0,0,0,3
"1216","241290",73,0,0,0,0,65,0,0,2,0,0,0,0,0,6
"1217","241300",39,0,0,1,0,32,0,0,3,0,0,0,0,0,3
"1218","241310",21,0,0,0,0,20,0,0,0,0,0,0,0,0,1
"1219","241320",23,0,0,0,0,20,0,0,0,0,0,0,0,0,3
"1220","241330",28,0,0,0,0,25,0,0,0,0,0,0,0,0,3
"1221","241335",99,1,0,0,0,59,0,0,23,0,0,0,0,0,16
"1222","241340",56,0,0,0,0,52,0,0,0,0,0,0,0,0,4
"1223","241350",20,0,0,0,0,18,0,0,0,0,0,0,0,0,2
"1224","241355",22,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"1225","241360",19,0,0,0,0,18,0,0,0,0,0,0,0,0,1
"1226","241370",13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"1227","241380",11,0,0,0,0,10,0,0,0,0,0,0,0,0,1
"1228","241390",26,0,0,1,0,24,0,0,0,0,0,0,0,0,1
"1229","241400",88,0,0,1,0,81,0,0,0,0,0,0,0,0,6
"1230","241410",39,0,0,0,0,35,0,0,0,0,0,0,0,0,4
"1231","241415",34,0,0,0,0,30,0,0,0,0,0,0,0,0,4
"1232","241420",365,0,1,6,0,282,0,0,1,0,0,0,1,0,74
"1233","241430",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1234","241440",221,0,0,0,0,195,0,0,5,0,0,0,0,0,21
"1235","241445",19,0,0,0,0,17,0,0,0,0,0,0,0,0,2
"1236","241450",48,0,0,0,0,38,0,0,0,0,0,0,0,0,10
"1237","241460",70,0,0,0,0,61,0,0,0,0,0,0,0,0,9
"1238","241470",22,0,0,0,0,19,0,0,0,0,0,0,0,0,3
"1239","241475",4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1240","241480",85,0,0,0,0,74,0,0,0,0,0,0,0,0,11
"1241","241490",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1242","241500",23,0,0,0,0,22,0,0,0,0,0,0,0,0,1
"1243","250010",61,0,0,0,0,60,0,0,0,0,0,0,0,0,1
"1244","250020",19,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"1245","250030",184,0,0,1,0,175,0,0,0,0,0,0,0,0,8
"1246","250040",101,0,0,0,0,99,0,0,0,0,0,0,0,0,2
"1247","250050",95,0,0,0,0,93,0,0,0,0,0,0,0,0,2
"1248","250053",23,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"1249","250057",20,0,0,0,0,19,0,0,0,0,0,0,0,0,1
"1250","250060",163,0,0,1,0,134,0,0,1,0,0,0,0,0,27
"1251","250070",54,0,0,0,0,47,0,0,0,0,0,0,0,0,7
"1252","250073",3,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"1253","250077",33,0,0,0,0,30,0,0,0,0,0,0,0,0,3
"1254","250080",82,0,0,0,0,79,0,0,0,0,0,0,0,0,3
"1255","250090",68,0,0,0,0,60,0,0,0,0,0,0,0,0,8
"1256","250100",112,0,0,1,0,101,0,0,0,0,0,0,0,0,10
"1257","250110",170,0,0,0,0,155,0,0,0,0,0,0,0,0,15
"1258","250115",6,0,0,1,0,5,0,0,0,0,0,0,0,0,0
"1259","250120",48,0,0,0,0,47,0,0,0,0,0,0,0,0,1
"1260","250130",96,0,0,1,0,85,0,0,4,0,0,0,0,0,6
"1261","250135",27,0,1,0,0,26,0,0,0,0,0,0,0,0,0
"1262","250140",33,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"1263","250150",134,0,0,0,0,124,0,0,0,0,0,0,0,0,10
"1264","250153",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1265","250157",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1266","250160",75,0,0,0,0,68,0,0,0,0,0,0,0,0,7
"1267","250170",17,0,0,0,0,15,0,0,0,0,0,0,0,0,2
"1268","250180",932,0,0,1,0,843,0,0,4,0,0,0,0,0,84
"1269","250190",193,0,0,0,0,178,0,0,0,0,0,0,0,0,15
"1270","250200",14,0,0,0,0,13,0,0,0,0,0,0,0,0,1
"1271","250205",12,0,0,0,0,11,0,0,0,0,0,0,0,0,1
"1272","250210",17,0,0,0,0,16,0,0,0,0,0,0,0,0,1
"1273","250215",75,0,0,0,0,70,0,0,0,0,0,0,0,0,5
"1274","250220",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1275","250230",9,0,0,0,0,8,0,0,0,0,0,0,0,0,1
"1276","250240",27,0,0,0,0,24,0,0,0,0,0,0,0,0,3
"1277","250250",90,0,0,0,0,88,0,0,0,0,0,0,0,0,2
"1278","250260",29,0,0,1,0,27,0,0,0,0,0,0,0,0,1
"1279","250270",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1280","250280",96,0,0,1,0,87,0,0,1,0,0,0,0,0,7
"1281","250290",23,0,0,0,0,21,0,0,0,0,0,0,0,0,2
"1282","250300",119,0,0,1,0,102,0,0,0,0,0,0,0,0,16
"1283","250310",52,0,0,0,0,50,0,0,0,0,0,0,0,0,2
"1284","250320",980,1,0,5,1,811,0,0,10,0,0,0,1,0,151
"1285","250330",33,0,0,0,0,31,0,0,0,0,0,0,0,0,2
"1286","250340",12,0,0,0,0,9,0,0,0,0,0,0,0,0,3
"1287","250350",68,0,0,1,0,64,0,0,0,0,0,0,0,0,3
"1288","250355",13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"1289","250360",42,0,0,0,0,40,0,0,0,0,0,0,0,0,2
"1290","250370",527,0,0,1,0,444,0,0,1,0,0,0,0,0,81
"1291","250375",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1292","250380",17,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"1293","250390",35,0,0,0,0,34,0,0,0,0,0,0,0,0,1
"1294","250400",6017,0,8,25,1,5366,0,0,18,0,0,0,4,0,595
"1295","250403",30,0,0,0,0,28,0,0,0,0,0,0,0,0,2
"1296","250407",11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"1297","250410",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"1298","250415",17,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"1299","250420",13,0,0,0,0,12,0,0,0,0,0,0,0,0,1
"1300","250430",239,0,1,3,0,187,0,0,1,0,0,0,0,0,47
"1301","250435",31,0,0,0,0,28,0,0,0,0,0,0,0,0,3
"1302","250440",80,0,0,1,0,74,0,0,0,0,0,0,0,0,5
"1303","250450",34,0,0,0,0,31,0,0,0,0,0,0,0,0,3
"1304","250460",246,0,0,1,0,208,0,0,2,0,0,0,0,0,35
"1305","250470",26,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"1306","250480",57,0,0,0,0,44,0,0,1,0,0,0,0,0,12
"1307","250485",8,0,0,0,0,7,0,0,0,0,0,0,0,0,1
"1308","250490",78,0,0,0,0,75,0,0,0,0,0,0,0,0,3
"1309","250500",29,0,0,0,0,26,0,0,0,0,0,0,0,0,3
"1310","250510",142,0,0,0,0,137,0,0,0,0,0,0,0,0,5
"1311","250520",35,0,0,1,0,33,0,0,0,0,0,0,0,0,1
"1312","250523",44,0,0,0,0,44,0,0,0,0,0,0,0,0,0
"1313","250527",11,0,0,0,0,10,0,0,0,0,0,0,0,0,1
"1314","250530",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1315","250535",26,0,0,0,0,24,0,0,0,0,0,0,0,0,2
"1316","250540",53,0,0,0,0,47,0,0,0,0,0,0,0,0,6
"1317","250550",12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"1318","250560",23,0,0,0,0,22,0,0,0,0,0,0,0,0,1
"1319","250570",54,0,0,0,0,51,0,0,0,0,0,0,0,0,3
"1320","250580",32,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"1321","250590",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1322","250600",329,0,0,4,0,273,0,0,1,0,0,0,0,0,51
"1323","250610",35,0,0,0,0,32,0,0,0,0,0,0,0,0,3
"1324","250620",24,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"1325","250625",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1326","250630",642,0,0,1,0,579,0,0,0,0,0,0,0,0,62
"1327","250640",68,0,0,0,0,60,0,0,0,0,0,0,0,0,8
"1328","250650",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1329","250660",26,0,0,0,0,25,0,0,0,0,0,0,0,0,1
"1330","250670",16,0,0,1,0,13,0,0,0,0,0,0,0,0,2
"1331","250680",99,0,0,0,0,90,0,0,0,0,0,0,0,0,9
"1332","250690",193,0,0,2,0,179,0,0,0,0,0,0,1,0,11
"1333","250700",176,0,0,3,0,157,0,0,0,0,0,0,0,0,16
"1334","250710",101,0,0,0,0,98,0,0,0,0,0,0,0,0,3
"1335","250720",29,0,0,0,0,26,0,0,0,0,0,0,0,0,3
"1336","250730",101,0,0,0,0,94,0,0,0,0,0,0,0,0,7
"1337","250740",33,0,0,0,0,29,0,0,0,0,0,0,0,0,4
"1338","250750",14930,2,8,110,1,12298,0,0,43,0,0,0,26,0,2442
"1339","250760",44,0,0,0,0,39,0,0,0,0,0,0,0,0,5
"1340","250770",110,0,0,0,0,101,0,0,0,0,0,0,0,0,9
"1341","250780",59,0,0,0,0,49,0,0,6,0,0,0,0,0,4
"1342","250790",92,0,0,0,0,88,0,0,0,0,0,0,0,0,4
"1343","250800",34,0,0,1,0,28,0,0,0,0,0,0,0,0,5
"1344","250810",12,0,0,0,0,10,0,0,0,0,0,0,0,0,2
"1345","250820",49,0,0,0,0,48,0,0,0,0,0,0,0,0,1
"1346","250830",137,0,0,0,0,122,0,0,0,0,0,0,0,0,15
"1347","250840",9,0,0,0,0,8,0,0,0,0,0,0,0,0,1
"1348","250850",15,0,0,0,0,14,0,0,0,0,0,0,0,0,1
"1349","250855",24,0,0,0,0,20,0,0,0,0,0,0,0,0,4
"1350","250860",113,0,0,0,0,107,0,0,0,0,0,0,0,0,6
"1351","250870",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"1352","250880",25,0,0,0,0,22,0,0,0,0,0,0,0,0,3
"1353","250890",468,0,1,0,0,425,0,0,1,0,0,0,0,0,41
"1354","250900",61,0,0,1,0,56,0,0,0,0,0,0,0,0,4
"1355","250905",17,0,0,0,0,16,0,0,0,0,0,0,0,0,1
"1356","250910",139,0,0,0,0,129,0,0,0,0,0,0,0,0,10
"1357","250915",27,0,0,0,0,23,0,0,0,0,0,0,0,0,4
"1358","250920",69,0,0,0,0,65,0,0,0,0,0,0,0,0,4
"1359","250930",70,0,0,0,0,64,0,0,0,0,0,0,0,0,6
"1360","250933",11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"1361","250937",4,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"1362","250939",31,0,0,0,0,30,0,0,0,0,0,0,0,0,1
"1363","250940",56,0,0,0,0,52,0,0,0,0,0,0,0,0,4
"1364","250950",31,0,0,0,0,28,0,0,0,0,0,0,0,0,3
"1365","250960",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1366","250970",206,0,1,0,0,185,0,0,1,0,0,0,0,0,19
"1367","250980",38,0,0,0,0,34,0,0,0,0,0,0,0,0,4
"1368","250990",19,0,0,0,0,18,0,0,0,0,0,0,0,0,1
"1369","251000",18,0,0,0,0,17,0,0,0,0,0,0,0,0,1
"1370","251010",64,0,0,0,0,63,0,0,0,0,0,0,0,0,1
"1371","251020",27,0,0,0,0,26,0,0,0,0,0,0,0,0,1
"1372","251030",26,0,0,0,0,25,0,0,0,0,0,0,0,0,1
"1373","251040",16,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"1374","251050",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1375","251060",12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"1376","251065",4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1377","251070",10,0,0,0,0,7,0,0,0,0,0,0,0,0,3
"1378","251080",1180,0,1,5,0,1012,0,0,2,0,0,0,0,0,160
"1379","251090",41,0,0,0,0,38,0,0,0,0,0,0,0,0,3
"1380","251100",13,0,0,0,0,9,0,0,0,0,0,0,0,0,4
"1381","251110",28,0,0,0,0,23,0,0,0,0,0,0,0,0,5
"1382","251120",190,0,1,0,0,159,0,0,1,0,0,0,0,0,29
"1383","251130",69,0,1,0,0,58,0,0,0,0,0,0,0,0,10
"1384","251140",124,0,0,0,0,117,0,0,0,0,0,0,0,0,7
"1385","251150",60,0,1,0,0,53,0,0,0,0,0,0,0,0,6
"1386","251160",45,0,0,0,0,45,0,0,0,0,0,0,0,0,0
"1387","251170",12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"1388","251180",74,0,0,0,0,69,0,0,0,0,0,0,0,0,5
"1389","251190",103,0,0,0,0,86,0,0,0,0,0,0,0,0,17
"1390","251200",76,0,0,0,0,70,0,0,0,0,0,0,0,0,6
"1391","251203",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"1392","251207",11,0,0,1,0,8,0,0,0,0,0,0,0,0,2
"1393","251210",228,0,0,1,0,193,0,0,1,0,0,0,0,0,33
"1394","251220",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"1395","251230",155,0,0,1,0,137,0,0,0,0,0,0,0,0,17
"1396","251240",74,0,0,0,0,71,0,0,0,0,0,0,0,0,3
"1397","251250",352,0,1,0,0,320,0,0,3,0,0,0,0,0,28
"1398","251260",7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"1399","251270",172,0,0,0,0,161,0,0,0,0,0,0,0,0,11
"1400","251272",22,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"1401","251274",5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"1402","251275",18,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"1403","251276",12,0,1,0,0,11,0,0,0,0,0,0,0,0,0
"1404","251278",16,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"1405","251280",43,0,0,0,0,39,0,0,0,0,0,0,0,0,4
"1406","251290",180,0,0,0,0,170,0,0,0,0,0,0,0,0,10
"1407","251300",9,0,0,0,0,6,0,0,0,0,0,0,1,0,2
"1408","251310",42,0,0,0,0,39,0,0,0,0,0,0,0,0,3
"1409","251315",29,0,0,0,0,23,0,0,0,0,0,0,0,0,6
"1410","251320",32,0,0,0,0,28,0,0,0,0,0,0,0,0,4
"1411","251330",20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"1412","251335",7,0,0,0,0,6,0,0,0,0,0,0,0,0,1
"1413","251340",164,0,0,0,0,156,0,0,0,0,0,0,0,0,8
"1414","251350",3,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"1415","251360",32,0,0,0,0,31,0,0,0,0,0,0,0,0,1
"1416","251365",6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1417","251370",1176,0,0,4,0,1097,0,0,4,0,0,0,0,0,71
"1418","251380",26,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"1419","251385",14,0,0,0,0,12,0,0,0,0,0,0,0,0,2
"1420","251390",264,0,0,1,0,239,0,0,0,0,0,0,0,0,24
"1421","251392",12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"1422","251394",22,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"1423","251396",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"1424","251398",13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"1425","251400",22,0,0,0,0,20,0,0,0,0,0,0,0,0,2
