ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
315733;SANTA CRUZ DE MINAS;4172;4551;8723;0,478275823;0,521724177
270480;MARIBONDO;6277;6846;13123;0,478320506;0,521679494
291920;LAURO DE FREITAS;97898;106771;204669;0,478323537;0,521676463
355100;SAO VICENTE;177393;193446;370839;0,478355836;0,521644164
220271;COCAL DE TELHA;2348;2560;4908;0,478402608;0,521597392
430910;GRAMADO;17636;19228;36864;0,478407118;0,521592882
522028;SAO PATRICIO;976;1064;2040;0,478431373;0,521568627
210860;PINHEIRO;40272;43888;84160;0,47851711;0,52148289
210530;IMPERATRIZ;124408;135572;259980;0,478529118;0,521470882
500200;BATAYPORA;5440;5928;11368;0,478536242;0,521463758
291190;IACU;11461;12489;23950;0,478538622;0,521461378
210990;SANTA INES;43036;46891;89927;0,478565948;0,521434052
270915;TEOTONIO VILELA;21331;23239;44570;0,478595468;0,521404532
220410;FRANCISCO AYRES;2058;2242;4300;0,478604651;0,521395349
316250;SAO JOAO DEL REI;43508;47389;90897;0,478651661;0,521348339
260850;LAGOA DE ITAENGA;10288;11202;21490;0,478734295;0,521265705
261230;SALOA;7603;8277;15880;0,478778338;0,521221662
432230;TUPARENDI;3701;4029;7730;0,478783959;0,521216041
250880;MALTA;2751;2994;5745;0,478851175;0,521148825
261530;TIMBAUBA;25184;27403;52587;0,47890163;0,52109837
230080;ANTONINA DO NORTE;3545;3857;7402;0,478924615;0,521075385
521540;OURO VERDE DE GOIAS;1762;1917;3679;0,478934493;0,521065507
411370;LONDRINA;278199;302671;580870;0,478935046;0,521064954
353440;OSASCO;335944;365484;701428;0,478942956;0,521057044
410860;GOIOERE;13762;14972;28734;0,478944804;0,521055196
313840;LEOPOLDINA;25239;27451;52690;0,4790093;0,5209907
430770;ESTEIO;39930;43422;83352;0,479052692;0,520947308
430545;CIDREIRA;8098;8799;16897;0,479256673;0,520743327
311080;CAMPANARIO;1792;1947;3739;0,479272533;0,520727467
520680;DAMOLANDIA;1411;1533;2944;0,479279891;0,520720109
