codigo_municipio_ibge,municipio,mes_referencia,valor_medio_recebido_familia
120060,TARAUACÁ,10/2022,66398
120060,TARAUACÁ,07/2022,47630
120060,TARAUACÁ,06/2022,38331
120060,TARAUACÁ,03/2022,39233
120060,TARAUACÁ,11/2022,66198
120060,TARAUACÁ,05/2022,38741
120060,TARAUACÁ,02/2022,39266
120060,TARAUACÁ,08/2022,66694
120060,TARAUACÁ,01/2022,38069
120060,TARAUACÁ,12/2022,65959
120070,XAPURI,01/2022,22900
120070,XAPURI,12/2022,60961
120070,XAPURI,08/2022,60932
120070,XAPURI,02/2022,23659
120070,XAPURI,05/2022,23007
120070,XAPURI,04/2022,23399
120070,XAPURI,03/2022,23488
120070,XAPURI,09/2022,60907
120070,XAPURI,07/2022,40949
120070,XAPURI,11/2022,60897
120070,XAPURI,06/2022,22441
120070,XAPURI,10/2022,60891
120080,PORTO ACRE,06/2022,23336
120080,PORTO ACRE,10/2022,61133
120080,PORTO ACRE,11/2022,61338
120080,PORTO ACRE,03/2022,24202
120080,PORTO ACRE,12/2022,61014
120080,PORTO ACRE,05/2022,23881
120080,PORTO ACRE,08/2022,61051
120080,PORTO ACRE,02/2022,25177
120080,PORTO ACRE,07/2022,41328
120080,PORTO ACRE,09/2022,60978
120080,PORTO ACRE,01/2022,24403
120080,PORTO ACRE,04/2022,24182
270010,ÁGUA BRANCA,12/2022,63433
270010,ÁGUA BRANCA,09/2022,63608
270010,ÁGUA BRANCA,01/2022,32425
270010,ÁGUA BRANCA,10/2022,63579
270010,ÁGUA BRANCA,02/2022,33950
270010,ÁGUA BRANCA,05/2022,33860
270010,ÁGUA BRANCA,11/2022,63464
270010,ÁGUA BRANCA,04/2022,33819
270010,ÁGUA BRANCA,06/2022,33142
270010,ÁGUA BRANCA,08/2022,63678
270010,ÁGUA BRANCA,07/2022,43813
270010,ÁGUA BRANCA,03/2022,34073
270020,ANADIA,07/2022,40578
270020,ANADIA,08/2022,60526
270020,ANADIA,03/2022,20360
270020,ANADIA,01/2022,20091
270020,ANADIA,12/2022,60478
270020,ANADIA,10/2022,60541
270020,ANADIA,05/2022,20105
270020,ANADIA,02/2022,20816
270020,ANADIA,09/2022,60504
270020,ANADIA,04/2022,20582
270020,ANADIA,11/2022,60475
270020,ANADIA,06/2022,19509
270030,ARAPIRACA,06/2022,22603
270030,ARAPIRACA,04/2022,22752
270030,ARAPIRACA,11/2022,60791
270030,ARAPIRACA,03/2022,22830
270030,ARAPIRACA,01/2022,21773
270030,ARAPIRACA,05/2022,22866
270030,ARAPIRACA,08/2022,60773
270030,ARAPIRACA,07/2022,40792
270030,ARAPIRACA,02/2022,22683
270030,ARAPIRACA,10/2022,60801
270030,ARAPIRACA,12/2022,60728
270030,ARAPIRACA,09/2022,60750
270040,ATALAIA,10/2022,60633
270040,ATALAIA,09/2022,60626
270040,ATALAIA,02/2022,21720
270040,ATALAIA,12/2022,60773
270040,ATALAIA,04/2022,21657
270040,ATALAIA,06/2022,20362
270040,ATALAIA,11/2022,60954
270040,ATALAIA,05/2022,21028
270040,ATALAIA,01/2022,20852
270040,ATALAIA,07/2022,40685
270040,ATALAIA,03/2022,21712
270040,ATALAIA,08/2022,60642
270050,BARRA DE SANTO ANTÔNIO,07/2022,40722
270050,BARRA DE SANTO ANTÔNIO,05/2022,21102
270050,BARRA DE SANTO ANTÔNIO,03/2022,20984
270050,BARRA DE SANTO ANTÔNIO,08/2022,60635
270050,BARRA DE SANTO ANTÔNIO,12/2022,60517
270050,BARRA DE SANTO ANTÔNIO,01/2022,20011
270050,BARRA DE SANTO ANTÔNIO,09/2022,60592
270050,BARRA DE SANTO ANTÔNIO,02/2022,20775
270050,BARRA DE SANTO ANTÔNIO,10/2022,61007
270050,BARRA DE SANTO ANTÔNIO,06/2022,20752
270050,BARRA DE SANTO ANTÔNIO,11/2022,60545
270050,BARRA DE SANTO ANTÔNIO,04/2022,20982
270060,BARRA DE SÃO MIGUEL,04/2022,23511
270060,BARRA DE SÃO MIGUEL,06/2022,22920
270060,BARRA DE SÃO MIGUEL,11/2022,60695
270060,BARRA DE SÃO MIGUEL,07/2022,40864
270060,BARRA DE SÃO MIGUEL,01/2022,22251
270060,BARRA DE SÃO MIGUEL,05/2022,23456
270060,BARRA DE SÃO MIGUEL,03/2022,23550
270060,BARRA DE SÃO MIGUEL,08/2022,60782
270060,BARRA DE SÃO MIGUEL,10/2022,60716
270060,BARRA DE SÃO MIGUEL,09/2022,60731
270060,BARRA DE SÃO MIGUEL,02/2022,23072
270060,BARRA DE SÃO MIGUEL,12/2022,60683
270070,BATALHA,02/2022,24882
270070,BATALHA,09/2022,60865
270070,BATALHA,12/2022,60775
270070,BATALHA,10/2022,60849
270070,BATALHA,11/2022,61006
270070,BATALHA,06/2022,23038
270070,BATALHA,04/2022,23872
270070,BATALHA,01/2022,24100
270070,BATALHA,05/2022,23512
270070,BATALHA,07/2022,41150
270070,BATALHA,08/2022,60939
270070,BATALHA,03/2022,23920
270080,BELÉM,05/2022,22891
270080,BELÉM,03/2022,23031
270080,BELÉM,08/2022,60890
270080,BELÉM,01/2022,22648
270080,BELÉM,07/2022,40967
270080,BELÉM,04/2022,23180
270080,BELÉM,09/2022,60855
270080,BELÉM,02/2022,23607
270080,BELÉM,10/2022,60834
270080,BELÉM,12/2022,60838
270080,BELÉM,06/2022,22482
270080,BELÉM,11/2022,61170
270090,BELO MONTE,06/2022,27232
270090,BELO MONTE,04/2022,28191
270090,BELO MONTE,11/2022,61746
270090,BELO MONTE,07/2022,41859
270090,BELO MONTE,01/2022,27326
270090,BELO MONTE,08/2022,61855
270090,BELO MONTE,03/2022,28470
270090,BELO MONTE,05/2022,27413
270090,BELO MONTE,12/2022,61651
270090,BELO MONTE,10/2022,63654
270090,BELO MONTE,02/2022,28470
270090,BELO MONTE,09/2022,61845
270100,BOCA DA MATA,12/2022,60756
270100,BOCA DA MATA,10/2022,60763
270100,BOCA DA MATA,09/2022,60746
270100,BOCA DA MATA,02/2022,23276
270100,BOCA DA MATA,04/2022,22387
270100,BOCA DA MATA,11/2022,60757
270100,BOCA DA MATA,06/2022,21829
270100,BOCA DA MATA,01/2022,22606
270100,BOCA DA MATA,03/2022,22438
270100,BOCA DA MATA,08/2022,60805
270100,BOCA DA MATA,05/2022,21992
270100,BOCA DA MATA,07/2022,40963
270110,BRANQUINHA,08/2022,60471
270110,BRANQUINHA,01/2022,17807
270110,BRANQUINHA,07/2022,40492
270110,BRANQUINHA,05/2022,18988
270110,BRANQUINHA,12/2022,60433
270110,BRANQUINHA,10/2022,60453
270110,BRANQUINHA,02/2022,18734
270110,BRANQUINHA,09/2022,60455
270110,BRANQUINHA,04/2022,18747
270110,BRANQUINHA,11/2022,60427
270110,BRANQUINHA,03/2022,18746
270110,BRANQUINHA,06/2022,18389
270120,CACIMBINHAS,04/2022,25210
270120,CACIMBINHAS,11/2022,61380
270120,CACIMBINHAS,05/2022,25056
270120,CACIMBINHAS,01/2022,24236
270120,CACIMBINHAS,03/2022,25429
270120,CACIMBINHAS,07/2022,41560
270120,CACIMBINHAS,08/2022,61472
270120,CACIMBINHAS,06/2022,24659
270120,CACIMBINHAS,12/2022,61257
270120,CACIMBINHAS,10/2022,61336
270120,CACIMBINHAS,09/2022,61380
270120,CACIMBINHAS,02/2022,25521
270130,CAJUEIRO,10/2022,60621
270130,CAJUEIRO,02/2022,20629
270130,CAJUEIRO,09/2022,60557
270130,CAJUEIRO,12/2022,60655
270130,CAJUEIRO,06/2022,19506
270130,CAJUEIRO,04/2022,20436
270130,CAJUEIRO,11/2022,60720
270130,CAJUEIRO,03/2022,20524
270130,CAJUEIRO,08/2022,60574
270130,CAJUEIRO,01/2022,19913
270130,CAJUEIRO,07/2022,40591
270130,CAJUEIRO,05/2022,19990
270135,CAMPESTRE,05/2022,23021
270135,CAMPESTRE,08/2022,61343
270135,CAMPESTRE,03/2022,23237
270135,CAMPESTRE,01/2022,22316
270135,CAMPESTRE,06/2022,22686
270135,CAMPESTRE,10/2022,61298
270135,CAMPESTRE,12/2022,61315
270135,CAMPESTRE,02/2022,23309
270135,CAMPESTRE,09/2022,61312
270135,CAMPESTRE,07/2022,41407
270135,CAMPESTRE,04/2022,23176
270135,CAMPESTRE,11/2022,61237
270140,CAMPO ALEGRE,11/2022,60341
270140,CAMPO ALEGRE,04/2022,18423
270140,CAMPO ALEGRE,08/2022,60322
270140,CAMPO ALEGRE,03/2022,18466
270140,CAMPO ALEGRE,01/2022,17638
270140,CAMPO ALEGRE,07/2022,40341
270140,CAMPO ALEGRE,05/2022,18531
270140,CAMPO ALEGRE,02/2022,18327
270140,CAMPO ALEGRE,12/2022,60323
270140,CAMPO ALEGRE,10/2022,60431
270140,CAMPO ALEGRE,06/2022,17962
270140,CAMPO ALEGRE,09/2022,60320
270150,CAMPO GRANDE,09/2022,62159
270150,CAMPO GRANDE,06/2022,29287
270150,CAMPO GRANDE,10/2022,62187
270150,CAMPO GRANDE,02/2022,32888
270150,CAMPO GRANDE,12/2022,61737
270150,CAMPO GRANDE,04/2022,30124
270150,CAMPO GRANDE,11/2022,61845
270150,CAMPO GRANDE,01/2022,31477
270150,CAMPO GRANDE,08/2022,62225
270150,CAMPO GRANDE,05/2022,29803
270150,CAMPO GRANDE,07/2022,42479
270150,CAMPO GRANDE,03/2022,30294
270160,CANAPI,01/2022,28469
270160,CANAPI,07/2022,42711
270160,CANAPI,03/2022,29624
270160,CANAPI,05/2022,29206
270160,CANAPI,08/2022,62559
270160,CANAPI,10/2022,62446
270160,CANAPI,12/2022,62362
270160,CANAPI,06/2022,28957
270160,CANAPI,02/2022,29784
270160,CANAPI,09/2022,62493
270160,CANAPI,11/2022,62385
270160,CANAPI,04/2022,29475
270170,CAPELA,11/2022,61261
270170,CAPELA,04/2022,24093
270170,CAPELA,07/2022,41196
270170,CAPELA,05/2022,24006
270170,CAPELA,08/2022,61138
270170,CAPELA,01/2022,23075
270170,CAPELA,06/2022,23375
270170,CAPELA,10/2022,61118
270170,CAPELA,12/2022,61056
270170,CAPELA,02/2022,24242
270170,CAPELA,09/2022,61135
270170,CAPELA,03/2022,24152
270180,CARNEIROS,09/2022,62997
270180,CARNEIROS,04/2022,32371
270180,CARNEIROS,02/2022,32513
270180,CARNEIROS,10/2022,62841
270180,CARNEIROS,12/2022,62817
270180,CARNEIROS,01/2022,31115
270180,CARNEIROS,11/2022,63174
270180,CARNEIROS,08/2022,63172
270180,CARNEIROS,05/2022,32082
270180,CARNEIROS,03/2022,32124
270180,CARNEIROS,06/2022,31812
270180,CARNEIROS,07/2022,43498
270190,CHÃ PRETA,08/2022,61683
270190,CHÃ PRETA,05/2022,26527
270190,CHÃ PRETA,01/2022,29044
270190,CHÃ PRETA,07/2022,42117
270190,CHÃ PRETA,06/2022,26079
270190,CHÃ PRETA,03/2022,27095
270190,CHÃ PRETA,12/2022,62264
270190,CHÃ PRETA,02/2022,29923
270190,CHÃ PRETA,04/2022,27351
270190,CHÃ PRETA,10/2022,61506
270190,CHÃ PRETA,09/2022,61528
270190,CHÃ PRETA,11/2022,61852
270200,COITÉ DO NÓIA,04/2022,25095
270200,COITÉ DO NÓIA,11/2022,60813
270200,COITÉ DO NÓIA,03/2022,25190
270200,COITÉ DO NÓIA,01/2022,24164
270200,COITÉ DO NÓIA,07/2022,40916
270200,COITÉ DO NÓIA,08/2022,60851
270200,COITÉ DO NÓIA,06/2022,23791
270200,COITÉ DO NÓIA,05/2022,24336
270200,COITÉ DO NÓIA,02/2022,25284
270200,COITÉ DO NÓIA,10/2022,60863
270200,COITÉ DO NÓIA,09/2022,60842
270200,COITÉ DO NÓIA,12/2022,60789
270210,COLÔNIA LEOPOLDINA,02/2022,24606
270210,COLÔNIA LEOPOLDINA,09/2022,61349
270210,COLÔNIA LEOPOLDINA,10/2022,61326
270210,COLÔNIA LEOPOLDINA,12/2022,61344
270210,COLÔNIA LEOPOLDINA,11/2022,61332
270210,COLÔNIA LEOPOLDINA,04/2022,24156
270210,COLÔNIA LEOPOLDINA,08/2022,61392
270210,COLÔNIA LEOPOLDINA,05/2022,24017
270210,COLÔNIA LEOPOLDINA,06/2022,23759
270210,COLÔNIA LEOPOLDINA,07/2022,41547
270210,COLÔNIA LEOPOLDINA,01/2022,23537
270210,COLÔNIA LEOPOLDINA,03/2022,24205
270220,COQUEIRO SECO,06/2022,19365
270220,COQUEIRO SECO,07/2022,40550
270220,COQUEIRO SECO,03/2022,19846
270220,COQUEIRO SECO,05/2022,19799
270220,COQUEIRO SECO,08/2022,60465
270220,COQUEIRO SECO,10/2022,60422
270220,COQUEIRO SECO,12/2022,60446
270220,COQUEIRO SECO,09/2022,60442
270220,COQUEIRO SECO,02/2022,19941
270220,COQUEIRO SECO,01/2022,19278
270220,COQUEIRO SECO,04/2022,19879
270220,COQUEIRO SECO,11/2022,60505
270230,CORURIPE,04/2022,20374
270230,CORURIPE,11/2022,60439
270230,CORURIPE,07/2022,40485
270230,CORURIPE,02/2022,20434
270230,CORURIPE,01/2022,19719
270230,CORURIPE,03/2022,20457
