codigo_municipio_ibge,nome_municipio,pib_preco_corrente,atividade_maior_valor_ad_bruto
150210,Cametá,9561.65,"Administração, defesa, educação e saúde públicas e seguridade social"
150215,Canaã dos Carajás,591101.11,Indústrias extrativas
150220,Capanema,17673.47,Demais serviços
150230,Capitão Poço,12951.42,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150240,Castanhal,21122.55,Demais serviços
150250,Chaves,9117.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150260,Colares,7669.86,"Administração, defesa, educação e saúde públicas e seguridade social"
150270,Conceição do Araguaia,12955.95,"Administração, defesa, educação e saúde públicas e seguridade social"
150275,Concórdia do Pará,9548.28,"Administração, defesa, educação e saúde públicas e seguridade social"
150276,Cumaru do Norte,29652.99,"Pecuária, inclusive apoio à pecuária"
150277,Curionópolis,36114.66,Indústrias extrativas
150280,Curralinho,7626.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150285,Curuá,9612.22,"Administração, defesa, educação e saúde públicas e seguridade social"
150290,Curuçá,8140.03,"Administração, defesa, educação e saúde públicas e seguridade social"
150293,Dom Eliseu,12952.18,"Administração, defesa, educação e saúde públicas e seguridade social"
150295,Eldorado do Carajás,15342.53,"Administração, defesa, educação e saúde públicas e seguridade social"
150300,Faro,8992.73,"Administração, defesa, educação e saúde públicas e seguridade social"
150304,Floresta do Araguaia,20176.54,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150307,Garrafão do Norte,9819.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150309,Goianésia do Pará,9054.66,"Administração, defesa, educação e saúde públicas e seguridade social"
150310,Gurupá,8722.93,"Administração, defesa, educação e saúde públicas e seguridade social"
150320,Igarapé-Açu,9718.81,"Administração, defesa, educação e saúde públicas e seguridade social"
150330,Igarapé-Miri,9957.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150340,Inhangapi,13134.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150345,Ipixuna do Pará,9252.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150350,Irituia,7643.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150360,Itaituba,25900.08,Demais serviços
150370,Itupiranga,12339.48,"Administração, defesa, educação e saúde públicas e seguridade social"
150375,Jacareacanga,75936.8,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150380,Jacundá,8846.22,"Administração, defesa, educação e saúde públicas e seguridade social"
150390,Juruti,23180.49,Indústrias extrativas
150400,Limoeiro do Ajuru,16551.6,"Produção florestal, pesca e aquicultura"
150405,Mãe do Rio,10719.26,"Administração, defesa, educação e saúde públicas e seguridade social"
150410,Magalhães Barata,10870.62,"Administração, defesa, educação e saúde públicas e seguridade social"
150420,Marabá,45602.1,Indústrias extrativas
150430,Maracanã,8655.11,"Administração, defesa, educação e saúde públicas e seguridade social"
150440,Marapanim,8701.2,"Administração, defesa, educação e saúde públicas e seguridade social"
150442,Marituba,15576.91,"Administração, defesa, educação e saúde públicas e seguridade social"
150445,Medicilândia,27408.74,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150450,Melgaço,7035,"Administração, defesa, educação e saúde públicas e seguridade social"
150460,Mocajuba,15738.68,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150470,Moju,15227.44,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150475,Mojuí dos Campos,11992.63,"Administração, defesa, educação e saúde públicas e seguridade social"
150480,Monte Alegre,12210.07,"Administração, defesa, educação e saúde públicas e seguridade social"
150490,Muaná,7874.96,"Administração, defesa, educação e saúde públicas e seguridade social"
150495,Nova Esperança do Piriá,12000.81,"Administração, defesa, educação e saúde públicas e seguridade social"
150497,Nova Ipixuna,10036.28,"Administração, defesa, educação e saúde públicas e seguridade social"
150500,Nova Timboteua,9267.06,"Administração, defesa, educação e saúde públicas e seguridade social"
150503,Novo Progresso,32078.77,Demais serviços
150506,Novo Repartimento,12171.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150510,Óbidos,17152.06,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150520,Oeiras do Pará,13440.7,"Administração, defesa, educação e saúde públicas e seguridade social"
150530,Oriximiná,33818.92,Indústrias extrativas
150540,Ourém,11317.44,"Administração, defesa, educação e saúde públicas e seguridade social"
150543,Ourilândia do Norte,23262.47,Indústrias de transformação
150548,Pacajá,14941.1,"Administração, defesa, educação e saúde públicas e seguridade social"
150549,Palestina do Pará,10942.25,"Administração, defesa, educação e saúde públicas e seguridade social"
150550,Paragominas,32988.59,Indústrias extrativas
150553,Parauapebas,177992.21,Indústrias extrativas
150555,Pau D'Arco,17996.91,"Administração, defesa, educação e saúde públicas e seguridade social"
150560,Peixe-Boi,8133,"Administração, defesa, educação e saúde públicas e seguridade social"
150563,Piçarra,21163.94,"Pecuária, inclusive apoio à pecuária"
150565,Placas,9760.84,"Administração, defesa, educação e saúde públicas e seguridade social"
150570,Ponta de Pedras,7824.38,"Administração, defesa, educação e saúde públicas e seguridade social"
150580,Portel,13985.99,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150590,Porto de Moz,8336.14,"Administração, defesa, educação e saúde públicas e seguridade social"
150600,Prainha,11476.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150610,Primavera,27231.08,Indústrias de transformação
150611,Quatipuru,8115.73,"Administração, defesa, educação e saúde públicas e seguridade social"
150613,Redenção,23710.97,Demais serviços
150616,Rio Maria,31395.51,"Pecuária, inclusive apoio à pecuária"
150618,Rondon do Pará,11904.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150619,Rurópolis,8069.92,"Administração, defesa, educação e saúde públicas e seguridade social"
150620,Salinópolis,13902.68,Demais serviços
150630,Salvaterra,8037.37,"Administração, defesa, educação e saúde públicas e seguridade social"
150635,Santa Bárbara do Pará,10196.64,"Administração, defesa, educação e saúde públicas e seguridade social"
150640,Santa Cruz do Arari,7913.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150650,Santa Izabel do Pará,11242.38,"Administração, defesa, educação e saúde públicas e seguridade social"
150655,Santa Luzia do Pará,9506.34,"Administração, defesa, educação e saúde públicas e seguridade social"
150658,Santa Maria das Barreiras,33661.09,Indústrias extrativas
150660,Santa Maria do Pará,12318.34,"Administração, defesa, educação e saúde públicas e seguridade social"
150670,Santana do Araguaia,14967.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150680,Santarém,17950.24,Demais serviços
150690,Santarém Novo,7551.36,"Administração, defesa, educação e saúde públicas e seguridade social"
150700,Santo Antônio do Tauá,13538.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150710,São Caetano de Odivelas,8702.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150715,São Domingos do Araguaia,11764.62,"Administração, defesa, educação e saúde públicas e seguridade social"
150720,São Domingos do Capim,11574.83,"Administração, defesa, educação e saúde públicas e seguridade social"
150730,São Félix do Xingu,11939.09,"Pecuária, inclusive apoio à pecuária"
150740,São Francisco do Pará,15154.57,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150745,São Geraldo do Araguaia,24266.56,"Administração, defesa, educação e saúde públicas e seguridade social"
150746,São João da Ponta,8424.23,"Administração, defesa, educação e saúde públicas e seguridade social"
150747,São João de Pirabas,7745.77,"Administração, defesa, educação e saúde públicas e seguridade social"
150750,São João do Araguaia,11629.44,"Administração, defesa, educação e saúde públicas e seguridade social"
150760,São Miguel do Guamá,12113.08,"Administração, defesa, educação e saúde públicas e seguridade social"
150770,São Sebastião da Boa Vista,8466.33,"Administração, defesa, educação e saúde públicas e seguridade social"
150775,Sapucaia,19013.71,"Pecuária, inclusive apoio à pecuária"
150780,Senador José Porfírio,17358.01,"Administração, defesa, educação e saúde públicas e seguridade social"
150790,Soure,8500.36,"Administração, defesa, educação e saúde públicas e seguridade social"
150795,Tailândia,9896.47,"Administração, defesa, educação e saúde públicas e seguridade social"
150796,Terra Alta,6509.4,"Administração, defesa, educação e saúde públicas e seguridade social"
150797,Terra Santa,22899.64,Indústrias extrativas
150800,Tomé-Açu,12732.03,"Administração, defesa, educação e saúde públicas e seguridade social"
150803,Tracuateua,9458.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150805,Trairão,14418.84,"Administração, defesa, educação e saúde públicas e seguridade social"
150808,Tucumã,21472.56,Demais serviços
150810,Tucuruí,39674.02,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150812,Ulianópolis,30567.53,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150815,Uruará,15782.02,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150820,Vigia,7733.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150830,Viseu,10032.98,"Administração, defesa, educação e saúde públicas e seguridade social"
150835,Vitória do Xingu,250970.45,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150840,Xinguara,31336.01,Demais serviços
160005,Serra do Navio,14822.34,"Administração, defesa, educação e saúde públicas e seguridade social"
160010,Amapá,17165.55,"Administração, defesa, educação e saúde públicas e seguridade social"
160015,Pedra Branca do Amapari,27493.88,"Administração, defesa, educação e saúde públicas e seguridade social"
160020,Calçoene,16058.38,"Administração, defesa, educação e saúde públicas e seguridade social"
160021,Cutias,14332.96,"Administração, defesa, educação e saúde públicas e seguridade social"
160023,Ferreira Gomes,65169.94,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
160025,Itaubal,14389.05,"Administração, defesa, educação e saúde públicas e seguridade social"
160027,Laranjal do Jari,20142.52,"Administração, defesa, educação e saúde públicas e seguridade social"
160030,Macapá,22880.7,"Administração, defesa, educação e saúde públicas e seguridade social"
160040,Mazagão,16485.98,"Administração, defesa, educação e saúde públicas e seguridade social"
160050,Oiapoque,17494.76,"Administração, defesa, educação e saúde públicas e seguridade social"
160053,Porto Grande,16993.05,"Administração, defesa, educação e saúde públicas e seguridade social"
160055,Pracuúba,14632.36,"Administração, defesa, educação e saúde públicas e seguridade social"
160060,Santana,19020.14,"Administração, defesa, educação e saúde públicas e seguridade social"
160070,Tartarugalzinho,13849.97,"Administração, defesa, educação e saúde públicas e seguridade social"
160080,Vitória do Jari,13794.34,"Administração, defesa, educação e saúde públicas e seguridade social"
170025,Abreulândia,29564.14,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170030,Aguiarnópolis,22992.14,"Administração, defesa, educação e saúde públicas e seguridade social"
170035,Aliança do Tocantins,29076.87,"Administração, defesa, educação e saúde públicas e seguridade social"
170040,Almas,25691.39,"Produção florestal, pesca e aquicultura"
170070,Alvorada,48558.05,Demais serviços
170100,Ananás,14827.41,"Administração, defesa, educação e saúde públicas e seguridade social"
170105,Angico,12109.14,"Administração, defesa, educação e saúde públicas e seguridade social"
170110,Aparecida do Rio Negro,43143.68,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170130,Aragominas,13716.56,"Administração, defesa, educação e saúde públicas e seguridade social"
170190,Araguacema,36256.69,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170200,Araguaçu,32451.51,"Pecuária, inclusive apoio à pecuária"
170210,Araguaína,25965.12,Demais serviços
170215,Araguanã,13552.63,"Administração, defesa, educação e saúde públicas e seguridade social"
170220,Araguatins,12880.85,"Administração, defesa, educação e saúde públicas e seguridade social"
170230,Arapoema,54054.62,Construção
170240,Arraias,18573.34,"Administração, defesa, educação e saúde públicas e seguridade social"
170255,Augustinópolis,15615.46,"Administração, defesa, educação e saúde públicas e seguridade social"
170270,Aurora do Tocantins,13631.47,"Administração, defesa, educação e saúde públicas e seguridade social"
170290,Axixá do Tocantins,12862.98,"Administração, defesa, educação e saúde públicas e seguridade social"
170300,Babaçulândia,11935.39,"Administração, defesa, educação e saúde públicas e seguridade social"
170305,Bandeirantes do Tocantins,35286.65,Indústrias extrativas
170307,Barra do Ouro,15863.52,"Administração, defesa, educação e saúde públicas e seguridade social"
170310,Barrolândia,19051.87,"Administração, defesa, educação e saúde públicas e seguridade social"
170320,Bernardo Sayão,18535.24,"Administração, defesa, educação e saúde públicas e seguridade social"
170330,Bom Jesus do Tocantins,25275.47,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170360,Brasilândia do Tocantins,25019.01,"Administração, defesa, educação e saúde públicas e seguridade social"
170370,Brejinho de Nazaré,40467,"Produção florestal, pesca e aquicultura"
170380,Buriti do Tocantins,10205.91,"Administração, defesa, educação e saúde públicas e seguridade social"
170382,Cachoeirinha,14784.13,"Administração, defesa, educação e saúde públicas e seguridade social"
