CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,media_notas_CN,media_notas_CH,media_NU_NOTA_LC,media_NU_NOTA_MT,media_NU_NOTA_REDACAO
130060,13,AM,422.932631578947,418.510476190476,406.232380952381,437.047368421053,388.190476190476
130063,13,AM,431.1,435.613461538462,408.788461538462,454.566666666667,455
130068,13,AM,424.130357142857,438.364705882353,423.413235294118,430.583928571429,425.588235294118
130070,13,AM,440.304054054054,441.33625,448.1375,476.572972972973,478.5
130080,13,AM,412.36,431.606329113924,409.672151898734,446.444615384615,420.506329113924
130083,13,AM,418.223076923077,428.356666666667,419.56,468.85,344.666666666667
130090,13,AM,425.105128205128,439.1,419.533333333333,460.089743589744,435.833333333333
130100,13,AM,425.563366336634,436.920338983051,430.490677966102,462.840594059406,528.64406779661
130110,13,AM,433.467213114754,444.091666666667,427.4625,449.15737704918,443.055555555556
130115,13,AM,428.507407407407,433.4032,423.2024,446.722222222222,419.84
130120,13,AM,433.744244604317,446.982059800664,436.862790697674,457.612230215827,465.980066445183
130130,13,AM,429.644444444445,440.884042553192,429.004255319149,443.244444444445,455.31914893617
130140,13,AM,438.036690647482,448.345859872611,430.785350318471,469.829496402878,489.808917197452
130150,13,AM,419.3575,444.131111111111,428.377777777778,446.32,498.222222222222
130160,13,AM,427.26,442.896153846154,415.419230769231,441.698095238095,488.653846153846
130165,13,AM,440.509677419355,444.82,427.98,468.435483870968,513.714285714286
130170,13,AM,441.845728643216,450.822907488987,440.232599118943,460.745226130653,467.753303964758
130180,13,AM,441.015789473684,427.845833333333,424.866666666667,463.9,430.833333333333
130185,13,AM,422.322818791946,440.220467836257,415.020467836257,452.174496644295,405.380116959064
130190,13,AM,440.294929006085,458.73503649635,441.523357664234,460.629006085193,483.029197080292
130195,13,AM,438.097674418605,409.7484375,386.18125,434.295348837209,396.5625
130200,13,AM,436.360317460318,453.456521739131,428.485507246377,472.573015873016,400.289855072464
130210,13,AM,416.620779220779,421.552747252747,395.474725274725,444.987012987013,214.285714285714
130220,13,AM,427.211764705882,455.894736842105,428.505263157895,447.529411764706,447.368421052632
