codigo_municipio_ibge,pib_per_capita_preco_corrente,atividade_maior_valor_ad_bruto
150475,11992.63,"Administração, defesa, educação e saúde públicas e seguridade social"
150480,12210.07,"Administração, defesa, educação e saúde públicas e seguridade social"
150490,7874.96,"Administração, defesa, educação e saúde públicas e seguridade social"
150495,12000.81,"Administração, defesa, educação e saúde públicas e seguridade social"
150497,10036.28,"Administração, defesa, educação e saúde públicas e seguridade social"
150500,9267.06,"Administração, defesa, educação e saúde públicas e seguridade social"
150503,32078.77,Demais serviços
150506,12171.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150510,17152.06,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150520,13440.7,"Administração, defesa, educação e saúde públicas e seguridade social"
150530,33818.92,Indústrias extrativas
150540,11317.44,"Administração, defesa, educação e saúde públicas e seguridade social"
150543,23262.47,Indústrias de transformação
150548,14941.1,"Administração, defesa, educação e saúde públicas e seguridade social"
150549,10942.25,"Administração, defesa, educação e saúde públicas e seguridade social"
150550,32988.59,Indústrias extrativas
150553,177992.21,Indústrias extrativas
150555,17996.91,"Administração, defesa, educação e saúde públicas e seguridade social"
150560,8133,"Administração, defesa, educação e saúde públicas e seguridade social"
150563,21163.94,"Pecuária, inclusive apoio à pecuária"
150565,9760.84,"Administração, defesa, educação e saúde públicas e seguridade social"
150570,7824.38,"Administração, defesa, educação e saúde públicas e seguridade social"
150580,13985.99,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150590,8336.14,"Administração, defesa, educação e saúde públicas e seguridade social"
150600,11476.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150610,27231.08,Indústrias de transformação
150611,8115.73,"Administração, defesa, educação e saúde públicas e seguridade social"
150613,23710.97,Demais serviços
150616,31395.51,"Pecuária, inclusive apoio à pecuária"
150618,11904.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150619,8069.92,"Administração, defesa, educação e saúde públicas e seguridade social"
150620,13902.68,Demais serviços
150630,8037.37,"Administração, defesa, educação e saúde públicas e seguridade social"
150635,10196.64,"Administração, defesa, educação e saúde públicas e seguridade social"
150640,7913.19,"Administração, defesa, educação e saúde públicas e seguridade social"
150650,11242.38,"Administração, defesa, educação e saúde públicas e seguridade social"
150655,9506.34,"Administração, defesa, educação e saúde públicas e seguridade social"
150658,33661.09,Indústrias extrativas
150660,12318.34,"Administração, defesa, educação e saúde públicas e seguridade social"
150670,14967.72,"Administração, defesa, educação e saúde públicas e seguridade social"
150680,17950.24,Demais serviços
150690,7551.36,"Administração, defesa, educação e saúde públicas e seguridade social"
150700,13538.43,"Administração, defesa, educação e saúde públicas e seguridade social"
150710,8702.57,"Administração, defesa, educação e saúde públicas e seguridade social"
150715,11764.62,"Administração, defesa, educação e saúde públicas e seguridade social"
150720,11574.83,"Administração, defesa, educação e saúde públicas e seguridade social"
150730,11939.09,"Pecuária, inclusive apoio à pecuária"
150740,15154.57,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150745,24266.56,"Administração, defesa, educação e saúde públicas e seguridade social"
150746,8424.23,"Administração, defesa, educação e saúde públicas e seguridade social"
150747,7745.77,"Administração, defesa, educação e saúde públicas e seguridade social"
150750,11629.44,"Administração, defesa, educação e saúde públicas e seguridade social"
150760,12113.08,"Administração, defesa, educação e saúde públicas e seguridade social"
150770,8466.33,"Administração, defesa, educação e saúde públicas e seguridade social"
150775,19013.71,"Pecuária, inclusive apoio à pecuária"
150780,17358.01,"Administração, defesa, educação e saúde públicas e seguridade social"
150790,8500.36,"Administração, defesa, educação e saúde públicas e seguridade social"
150795,9896.47,"Administração, defesa, educação e saúde públicas e seguridade social"
150796,6509.4,"Administração, defesa, educação e saúde públicas e seguridade social"
150797,22899.64,Indústrias extrativas
150800,12732.03,"Administração, defesa, educação e saúde públicas e seguridade social"
150803,9458.6,"Administração, defesa, educação e saúde públicas e seguridade social"
150805,14418.84,"Administração, defesa, educação e saúde públicas e seguridade social"
150808,21472.56,Demais serviços
150810,39674.02,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150812,30567.53,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150815,15782.02,"Agricultura, inclusive apoio à agricultura e a pós colheita"
150820,7733.05,"Administração, defesa, educação e saúde públicas e seguridade social"
150830,10032.98,"Administração, defesa, educação e saúde públicas e seguridade social"
150835,250970.45,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
150840,31336.01,Demais serviços
160005,14822.34,"Administração, defesa, educação e saúde públicas e seguridade social"
160010,17165.55,"Administração, defesa, educação e saúde públicas e seguridade social"
160015,27493.88,"Administração, defesa, educação e saúde públicas e seguridade social"
160020,16058.38,"Administração, defesa, educação e saúde públicas e seguridade social"
160021,14332.96,"Administração, defesa, educação e saúde públicas e seguridade social"
160023,65169.94,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
160025,14389.05,"Administração, defesa, educação e saúde públicas e seguridade social"
160027,20142.52,"Administração, defesa, educação e saúde públicas e seguridade social"
160030,22880.7,"Administração, defesa, educação e saúde públicas e seguridade social"
160040,16485.98,"Administração, defesa, educação e saúde públicas e seguridade social"
160050,17494.76,"Administração, defesa, educação e saúde públicas e seguridade social"
160053,16993.05,"Administração, defesa, educação e saúde públicas e seguridade social"
160055,14632.36,"Administração, defesa, educação e saúde públicas e seguridade social"
160060,19020.14,"Administração, defesa, educação e saúde públicas e seguridade social"
160070,13849.97,"Administração, defesa, educação e saúde públicas e seguridade social"
160080,13794.34,"Administração, defesa, educação e saúde públicas e seguridade social"
170025,29564.14,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170030,22992.14,"Administração, defesa, educação e saúde públicas e seguridade social"
170035,29076.87,"Administração, defesa, educação e saúde públicas e seguridade social"
170040,25691.39,"Produção florestal, pesca e aquicultura"
170070,48558.05,Demais serviços
170100,14827.41,"Administração, defesa, educação e saúde públicas e seguridade social"
170105,12109.14,"Administração, defesa, educação e saúde públicas e seguridade social"
170110,43143.68,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170130,13716.56,"Administração, defesa, educação e saúde públicas e seguridade social"
170190,36256.69,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170200,32451.51,"Pecuária, inclusive apoio à pecuária"
170210,25965.12,Demais serviços
170215,13552.63,"Administração, defesa, educação e saúde públicas e seguridade social"
170220,12880.85,"Administração, defesa, educação e saúde públicas e seguridade social"
170230,54054.62,Construção
170240,18573.34,"Administração, defesa, educação e saúde públicas e seguridade social"
170255,15615.46,"Administração, defesa, educação e saúde públicas e seguridade social"
170270,13631.47,"Administração, defesa, educação e saúde públicas e seguridade social"
170290,12862.98,"Administração, defesa, educação e saúde públicas e seguridade social"
170300,11935.39,"Administração, defesa, educação e saúde públicas e seguridade social"
170305,35286.65,Indústrias extrativas
170307,15863.52,"Administração, defesa, educação e saúde públicas e seguridade social"
170310,19051.87,"Administração, defesa, educação e saúde públicas e seguridade social"
170320,18535.24,"Administração, defesa, educação e saúde públicas e seguridade social"
170330,25275.47,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170360,25019.01,"Administração, defesa, educação e saúde públicas e seguridade social"
170370,40467,"Produção florestal, pesca e aquicultura"
170380,10205.91,"Administração, defesa, educação e saúde públicas e seguridade social"
170382,14784.13,"Administração, defesa, educação e saúde públicas e seguridade social"
170384,46047.99,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170386,89401.02,Comércio e reparação de veículos automotores e motocicletas
170388,17446.12,"Administração, defesa, educação e saúde públicas e seguridade social"
170389,11072.91,"Administração, defesa, educação e saúde públicas e seguridade social"
170390,82489.74,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170410,22314.82,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170460,23464.67,"Administração, defesa, educação e saúde públicas e seguridade social"
170510,27491.08,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170550,22179.14,"Administração, defesa, educação e saúde públicas e seguridade social"
170555,15055.34,"Administração, defesa, educação e saúde públicas e seguridade social"
170560,15058.64,"Administração, defesa, educação e saúde públicas e seguridade social"
170600,23387.97,"Administração, defesa, educação e saúde públicas e seguridade social"
170610,25310.02,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170625,36063.56,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170650,35243.14,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170700,31530.94,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170710,24974.12,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170720,20044.25,"Administração, defesa, educação e saúde públicas e seguridade social"
170730,35220.81,"Pecuária, inclusive apoio à pecuária"
170740,9630.98,"Administração, defesa, educação e saúde públicas e seguridade social"
170755,20790.02,"Administração, defesa, educação e saúde públicas e seguridade social"
170765,42377.33,"Agricultura, inclusive apoio à agricultura e a pós colheita"
170770,13243.39,"Administração, defesa, educação e saúde públicas e seguridade social"
170820,24263.49,"Administração, defesa, educação e saúde públicas e seguridade social"
170825,84696.24,Comércio e reparação de veículos automotores e motocicletas
170830,21324.42,"Administração, defesa, educação e saúde públicas e seguridade social"
170900,13372.35,"Administração, defesa, educação e saúde públicas e seguridade social"
170930,28287.1,Comércio e reparação de veículos automotores e motocicletas
170950,29052.6,Demais serviços
170980,18179.46,"Administração, defesa, educação e saúde públicas e seguridade social"
171050,16277.42,"Administração, defesa, educação e saúde públicas e seguridade social"
171070,12572.29,"Administração, defesa, educação e saúde públicas e seguridade social"
171090,30439.42,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171110,23354.9,"Pecuária, inclusive apoio à pecuária"
171150,20415.54,"Administração, defesa, educação e saúde públicas e seguridade social"
171180,16561.1,"Administração, defesa, educação e saúde públicas e seguridade social"
171190,76362,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171195,18117.99,"Administração, defesa, educação e saúde públicas e seguridade social"
171200,21301.1,"Administração, defesa, educação e saúde públicas e seguridade social"
171215,15486.52,"Administração, defesa, educação e saúde públicas e seguridade social"
171240,13972.33,"Administração, defesa, educação e saúde públicas e seguridade social"
171245,38614.32,"Produção florestal, pesca e aquicultura"
171250,40130.13,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171270,83560.61,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171280,13880.91,"Administração, defesa, educação e saúde públicas e seguridade social"
171320,33104.87,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
171330,22799.82,"Administração, defesa, educação e saúde públicas e seguridade social"
171360,28665.33,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171370,23233.49,"Administração, defesa, educação e saúde públicas e seguridade social"
171380,12053.97,"Administração, defesa, educação e saúde públicas e seguridade social"
171395,15999.14,"Administração, defesa, educação e saúde públicas e seguridade social"
171420,19903.3,"Administração, defesa, educação e saúde públicas e seguridade social"
171430,14337.09,"Administração, defesa, educação e saúde públicas e seguridade social"
171488,24599.7,"Administração, defesa, educação e saúde públicas e seguridade social"
