CO_MUNICIPIO,qtd_cursos_agro,qtd_cursos_artes,qtd_cursos_cn,qtd_cursos_cs,qtd_cursos_tic,qtd_cursos_educ,qtd_cursos_engenharias,qtd_cursos_negocios_direito,qtd_cursos_programas_basicos,qtd_cursos_saude,qtd_cursos_servicos,IES_privadas,IES_publicas
314085,0,0,0,0,0,0,0,0,0,0,0,,
314090,126,0,0,30,0,1,39,54,0,142,0,1,0
314100,0,0,0,0,0,70,8,50,0,96,19,1,0
314110,0,0,0,0,0,0,0,3,0,0,0,,
314140,0,0,0,1,5,56,3,31,0,11,4,,
314160,0,0,0,0,0,14,0,7,0,3,0,,
314180,0,0,0,4,1,21,1,12,0,0,1,,
314200,0,0,0,0,0,0,0,0,0,0,0,,
314210,0,0,0,0,0,3,0,2,0,0,0,,
314220,0,0,0,0,1,1,1,1,0,0,0,,
314260,0,0,0,0,0,0,0,10,0,0,0,,
314270,0,0,0,0,0,18,1,4,0,5,0,,
314280,2,0,0,0,0,11,0,3,0,0,1,,
314290,0,0,0,0,0,0,0,0,0,0,0,,
314300,0,0,0,0,0,0,0,0,0,0,0,,
314310,60,2,6,62,6,98,51,124,0,5,2,1,0
314320,0,0,0,0,0,54,0,7,0,0,0,,
314330,225,14,17,520,54,951,745,1509,0,1443,148,9,2
314340,0,0,0,0,0,0,0,0,0,1,0,,
314345,0,0,0,0,0,0,0,0,0,0,0,,
314390,0,13,0,33,19,306,68,251,0,231,19,3,0
314400,0,2,0,11,2,50,1,18,0,5,2,,
314410,81,0,0,0,15,146,0,15,0,32,0,,
314430,0,0,0,3,0,18,28,56,0,114,2,,
314435,0,0,0,0,0,0,0,0,0,0,0,,
314450,0,0,0,0,0,0,0,1,0,0,0,,
314460,0,2,0,0,1,13,13,14,0,0,1,,
314465,0,0,0,0,0,12,0,0,0,0,0,,
314470,0,0,0,1,0,4,1,8,0,0,0,,
314480,0,3,0,1,10,73,7,235,0,35,12,3,0
314500,0,0,0,0,0,2,1,1,0,0,0,,
314505,0,0,0,0,0,0,32,88,0,45,0,1,0
314510,0,0,0,0,0,0,0,0,0,0,0,,
314520,0,2,0,18,3,96,1,54,0,26,6,1,0
314530,0,0,0,0,0,29,0,17,0,4,1,,
314560,0,0,0,0,4,32,0,91,0,0,4,1,0
314590,0,1,0,0,8,49,186,57,0,0,1,,
314600,0,2,0,0,1,49,0,38,0,42,1,1,0
314610,0,31,86,15,36,139,403,137,0,176,30,0,1
314630,0,0,0,0,0,40,1,7,0,0,0,,
314675,0,0,0,0,0,28,0,1,0,2,0,,
314690,0,0,0,0,0,0,0,1,0,0,0,,
314700,52,4,2,64,23,208,72,193,0,254,7,3,0
314710,8,8,0,28,14,155,11,236,0,50,35,1,0
314720,0,0,0,0,0,0,0,5,0,0,0,,
314730,0,0,0,0,1,22,0,29,0,1,0,,
314740,0,0,0,0,0,37,0,39,0,0,0,,
314760,0,0,0,0,2,21,0,44,0,3,0,,
314780,0,0,0,0,0,5,0,0,0,0,0,,
314790,26,25,16,15,22,252,108,316,0,164,32,2,0
314800,239,9,19,97,44,391,251,567,0,516,46,4,0
314810,102,3,6,126,12,188,35,199,0,90,7,1,0
314860,0,0,0,0,0,0,0,0,0,0,0,,
314870,0,0,0,0,0,31,1,29,0,0,1,,
314930,0,4,0,25,6,81,5,275,0,16,18,1,0
314960,0,0,0,0,0,0,0,0,0,0,0,,
314980,0,0,0,0,0,0,0,0,0,0,1,,
314990,0,0,0,0,1,12,0,18,0,0,2,,
315057,0,0,0,0,0,0,0,0,0,0,0,,
315060,0,0,0,0,0,19,0,2,0,0,0,,
315080,0,0,0,0,0,0,1,3,0,0,1,,
315100,0,0,0,0,0,0,0,0,0,0,0,,
315110,0,0,0,0,0,0,0,0,0,0,0,,
315120,1,2,0,45,12,76,92,91,0,31,6,2,0
315140,0,0,0,0,1,17,0,8,0,0,1,,
315150,0,0,0,1,4,56,17,86,0,7,6,,
315160,0,0,0,0,0,6,0,5,0,0,0,,
315170,0,0,0,0,0,0,0,0,0,0,0,,
315180,70,20,84,109,36,209,400,550,0,379,51,1,0
315190,0,0,0,0,0,0,0,0,0,0,0,,
315200,0,0,0,1,8,61,3,62,0,1,2,,
315210,1,1,0,30,11,158,8,162,0,145,10,2,0
315220,0,3,0,24,5,78,3,30,0,1,6,1,0
315240,0,0,0,0,0,0,0,0,0,0,0,,
315250,0,26,12,79,42,237,235,649,0,473,86,10,1
315280,0,0,1,0,1,29,1,17,0,1,2,,
315310,0,0,0,0,0,0,0,0,0,0,0,,
315330,0,0,0,0,0,0,0,0,0,0,0,,
315340,0,0,0,0,0,0,0,0,0,0,0,,
315390,0,0,0,0,0,0,0,0,0,0,0,,
315400,0,0,0,0,1,3,0,2,0,0,1,,
315415,0,0,0,0,0,1,0,112,0,0,0,1,0
315430,0,1,0,0,0,5,0,0,0,0,0,,
315445,0,0,0,0,0,0,0,0,0,0,0,,
315450,0,0,0,0,0,0,0,0,0,0,0,,
315460,0,3,0,33,15,334,3,317,0,53,31,1,0
315480,0,0,0,0,0,0,0,0,0,0,0,,
315490,0,0,0,0,0,0,0,1,0,0,0,,
315520,0,0,0,0,0,0,0,0,0,0,0,,
315550,13,0,14,0,14,0,45,36,0,8,0,,
315560,0,0,0,15,2,48,0,4,0,0,0,,
