SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,bolsonaro,lula,branco,nulo,bolsonaro_perc,lula_perc,codigo_ibge,cod_uf,codigo_ibge_dv
AM,2810,TEFÉ,11300,20281,196,1246,0.342185749326227,0.61414771522878,02810,13,130281
AM,2836,SÃO GABRIEL DA CACHOEIRA,4103,17090,83,624,0.187351598173516,0.780365296803653,02836,13,130283
AM,2852,URUCARÁ,1908,6317,51,299,0.222507288629738,0.73667638483965,02852,13,130285
AM,2879,URUCURITUBA,1836,7073,41,286,0.198787353832828,0.76580770896492,02879,13,130287
AM,2895,ALVARÃES,2102,5978,31,322,0.249258863986719,0.708881773983161,02895,13,130289
AM,2917,AMATURÁ,1182,3880,27,292,0.219661772904665,0.721055565879948,02917,13,130291
AM,2933,ANAMÃ,2051,3733,50,185,0.340754278119289,0.62020269147699,02933,13,130293
AM,2950,BERURI,3158,5381,61,398,0.350966881529229,0.59802178261836,02950,13,130295
AM,2976,BOA VISTA DO RAMOS,1072,7837,44,291,0.115967113803548,0.847793163132843,02976,13,130297
AM,2992,CAAPIRANGA,1980,3988,40,220,0.317919075144509,0.640333975594091,02992,13,130299
AM,98353,IRANDUBA,12590,15304,239,1174,0.429590200293445,0.522196062374177,98353,13,139835
AM,98370,ITAMARATI,1106,3678,31,247,0.218490715132359,0.726590280521533,98370,13,139837
AM,98396,MANAQUIRI,2906,6562,57,461,0.291007410374524,0.657119967955137,98396,13,139839
AM,98418,PRESIDENTE FIGUEIREDO,7935,9038,150,596,0.447824369321068,0.510073931937468,98418,13,139841
AM,98434,RIO PRETO DA EVA,6081,6752,126,533,0.450711532760154,0.500444707975096,98434,13,139843
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2279,2546,58,212,0.44730127576055,0.499705593719333,98450,13,139845
AM,98477,TABATINGA,8582,17368,214,1410,0.311235221585552,0.629868716907232,98477,13,139847
AM,98493,UARINI,1936,4087,34,242,0.307350373075091,0.648833148118749,98493,13,139849
AM,98515,TONANTINS,1298,6307,27,328,0.163065326633166,0.792336683417085,98515,13,139851
AP,6009,PRACUÚBA,1069,1269,5,26,0.451245251160827,0.535669058674546,06009,16,160600
AP,6017,AMAPÁ,1663,2785,28,62,0.366460996033495,0.613706478624945,06017,16,160601
AP,6025,PORTO GRANDE,4112,5120,59,154,0.435362625727898,0.542085759661196,06025,16,160602
AP,6033,CALÇOENE,1986,3200,34,51,0.37677859988617,0.607095427812559,06033,16,160603
AP,6041,ITAUBAL,2047,2366,31,34,0.457123715944618,0.5283608753908,06041,16,160604
AP,6050,MACAPÁ,125261,102810,2705,4061,0.533395504115621,0.437793022394256,06050,16,160605
AP,6068,CUTIAS,1248,1844,24,27,0.397072860324531,0.586700604517977,06068,16,160606
AP,6076,MAZAGÃO,4967,8466,84,173,0.36281957633309,0.618407596785975,06076,16,160607
AP,6084,PEDRA BRANCA DO AMAPARI,2856,3590,52,77,0.434372623574144,0.546007604562738,06084,16,160608
AP,6092,OIAPOQUE,4444,8150,106,137,0.346186803770351,0.634883539767859,06092,16,160609
AP,6106,SERRA DO NAVIO,1543,1026,8,34,0.590961317502873,0.392952891612409,06106,16,160610
AP,6114,FERREIRA GOMES,1862,2153,26,66,0.453372291210129,0.524226929632335,06114,16,160611
AP,6122,VITÓRIA DO JARI,2040,4460,40,84,0.307971014492754,0.673309178743961,06122,16,160612
AP,6130,LARANJAL DO JARI,7296,11222,162,272,0.384972562262558,0.592127479949346,06130,16,160613
AP,6157,SANTANA,35397,27693,621,865,0.54814482160555,0.428843533201189,06157,16,160615
AP,6173,TARTARUGALZINHO,2756,3764,33,77,0.415686274509804,0.567722473604827,06173,16,160617
BA,30007,LUÍS EDUARDO MAGALHÃES,31918,22542,568,1283,0.56681643018238,0.400312549945837,30007,29,293000
BA,30058,EUNÁPOLIS,28290,32559,787,2571,0.440606164436899,0.507094242060835,30058,29,293005
BA,30660,IUIU,1225,5342,72,186,0.17948717948718,0.782710622710623,30660,29,293066
BA,30678,JABORANDI,1589,5236,70,273,0.2216796875,0.73046875,30678,29,293067
BA,30694,JUSSARI,1183,2111,30,136,0.341907514450867,0.610115606936416,30694,29,293069
BA,30716,AMÉRICA DOURADA,1547,8303,82,241,0.152069202791704,0.816180084537501,30716,29,293071
BA,30732,ARATACA,1236,2988,52,192,0.276633840644584,0.668755595344673,30732,29,293073
BA,30759,BARRO ALTO,1499,6957,100,283,0.16958932005883,0.787079986423804,30759,29,293075
BA,30775,BARROCAS,1651,9090,104,506,0.145449740111003,0.800810501277421,30775,29,293077
BA,30791,BURITIRAMA,2326,8773,88,511,0.198837408103949,0.749957257650881,30791,29,293079
BA,30813,CAPELA DO ALTO ALEGRE,1677,5318,127,373,0.223749166110741,0.709539693128753,30813,29,293081
BA,30830,CAPIM GROSSO,6067,11947,324,854,0.316121300541893,0.622498957899125,30830,29,293083
BA,30856,CANUDOS,1506,8166,65,368,0.149035131123206,0.808114794656111,30856,29,293085
BA,30872,DIAS D ÁVILA,9999,29699,765,2101,0.234916831124894,0.697749271684992,30872,29,293087
BA,30899,FÁTIMA,1673,10190,169,458,0.133947157726181,0.815852682145717,30899,29,293089
BA,30910,FILADÉLFIA,2690,8574,168,439,0.226602645101508,0.722264341672985,30910,29,293091
BA,30937,GAVIÃO,888,2328,44,155,0.260029282576867,0.681698389458272,30937,29,293093
BA,30953,GUAJERU,596,4208,62,193,0.117809843842657,0.83178493773473,30953,29,293095
BA,30970,HELIÓPOLIS,1153,7931,121,297,0.121342875184172,0.834666386023995,30970,29,293097
BA,30996,JOÃO DOURADO,4695,9684,166,456,0.312979134724352,0.645556962869142,30996,29,293099
BA,33014,ABAÍRA,1836,3282,66,310,0.334182744812523,0.597378958864216,33014,29,293301
BA,33030,ABARÉ,2586,8936,100,359,0.215841749436608,0.745847592020699,33030,29,293303
BA,33057,ACAJUTIBA,1788,6812,99,411,0.196267837541164,0.74774972557629,33057,29,293305
BA,33065,ADUSTINA,1562,7694,148,424,0.158933658933659,0.782865282865283,33065,29,293306
BA,33073,ÁGUA FRIA,1610,7361,120,594,0.166236448115643,0.760041300980898,33073,29,293307
BA,33090,ÉRICO CARDOSO,1175,4915,83,278,0.182142303518834,0.761897380251124,33090,29,293309
BA,33111,AIQUARA,719,2254,35,132,0.228980891719745,0.717834394904459,33111,29,293311
BA,33138,ALAGOINHAS,26077,59147,1568,4496,0.285656384190693,0.647916484094295,33138,29,293313
BA,33154,ALCOBAÇA,3706,8986,139,517,0.277644590949955,0.673209469583458,33154,29,293315
BA,33170,ALMADINA,700,2767,27,145,0.192360538609508,0.760373729046441,33170,29,293317
BA,33197,AMARGOSA,6678,14755,317,1021,0.293267752843529,0.647973299372008,33197,29,293319
BA,33219,AMÉLIA RODRIGUES,2919,11878,275,708,0.184980988593156,0.752724968314322,33219,29,293321
BA,33235,ANAGÉ,2977,11104,163,590,0.200687609545638,0.748550626938115,33235,29,293323
BA,33251,ANDARAÍ,1001,6423,73,378,0.127111111111111,0.815619047619048,33251,29,293325
BA,33260,ANDORINHA,963,8929,93,267,0.0939328911431916,0.870952009364027,33260,29,293326
BA,33278,ANGICAL,2096,7728,85,254,0.206238315458034,0.760405392108629,33278,29,293327
BA,33294,ANGUERA,1127,5963,71,278,0.151498857373303,0.801586234708966,33294,29,293329
BA,33316,ANTAS,2491,5682,77,340,0.289988358556461,0.661466821885914,33316,29,293331
BA,33332,ANTÔNIO CARDOSO,947,8224,90,303,0.099017147636972,0.859891258887495,33332,29,293333
BA,33359,ANTÔNIO GONÇALVES,1441,5044,85,226,0.21203649205415,0.742201294879341,33359,29,293335
BA,33375,APORÁ,2069,7891,149,517,0.194711086015434,0.742612460003764,33375,29,293337
BA,33383,ARAÇÁS,1527,6202,101,318,0.18740795287187,0.761168384879725,33383,29,293338
BA,33391,ARACATU,1958,7868,147,292,0.190745250852411,0.76648806624452,33391,29,293339
BA,33405,APUAREMA,1212,3256,65,199,0.256128486897718,0.688081149619611,33405,29,293340
BA,33413,ARACI,4206,24379,320,1213,0.139650707218275,0.809449498638688,33413,29,293341
BA,33430,ARAMARI,1008,5922,100,336,0.136844963345099,0.803964159652457,33430,29,293343
BA,33456,ARATUÍPE,1170,5141,120,242,0.175333433238424,0.770418102802338,33456,29,293345
BA,33472,AURELINO LEAL,1725,5114,85,296,0.238919667590028,0.708310249307479,33472,29,293347
BA,33499,BAIANÓPOLIS,2336,6851,92,305,0.243739565943239,0.714837228714524,33499,29,293349
BA,33510,BAIXA GRANDE,3064,7723,167,740,0.262014708397469,0.660424149136309,33510,29,293351
BA,33529,BANZAÊ,1701,6232,86,264,0.205360376675118,0.752384401786792,33529,29,293352
BA,33537,BARRA,4713,21803,247,1196,0.168568260667406,0.779820451375228,33537,29,293353
BA,33553,BARRA DA ESTIVA,3910,12085,230,635,0.231909845788849,0.716785290628707,33553,29,293355
BA,33570,BARRA DO CHOÇA,4459,16805,291,1063,0.197143867715978,0.742992307012114,33570,29,293357
BA,33596,BARRA DO MENDES,943,8585,77,292,0.0952813984035566,0.867434576134182,33596,29,293359
BA,33618,BARRA DO ROCHA,963,1974,18,103,0.314911706998038,0.645519947678221,33618,29,293361
BA,33634,BARREIRAS,34122,50058,905,2342,0.390291328765713,0.572569114804351,33634,29,293363
BA,33650,BARRO PRETO,1090,3085,61,228,0.244175627240143,0.691084229390681,33650,29,293365
BA,33677,BELMONTE,3247,7681,120,486,0.281515519334143,0.665944165077163,33677,29,293367
BA,33693,BELO CAMPO,2704,9013,141,459,0.219533977429569,0.731752861898189,33693,29,293369
BA,33715,BIRITINGA,1168,8156,123,517,0.11722199919711,0.818546768366118,33715,29,293371
BA,33731,BOA NOVA,1173,7414,104,435,0.12853385930309,0.812404120096428,33731,29,293373
BA,33758,BOA VISTA DO TUPIM,2843,7452,120,622,0.257588112711788,0.675183473770046,33758,29,293375
